버스정류장ARS번호,역명,승차총승객수,하차총승객수,총이용객수,위도,경도
01571,산정빌라,2,12,14,37.6051519935,126.9574922002
01572,이화사거리,117,416,533,37.5765095598,127.0020914666
01573,박종화고택입구,2,15,17,37.6143102577,126.9676873462
01574,무악현대아파트후문,96,337,433,37.5763372261,126.9619411637
01576,헌법재판소.안국역,80,539,619,37.5773871956,126.9858152185
01577,청구빌라,9,67,76,37.6046102563,126.9569839726
01578,서울대어린이병원응급실.갑상선센터,17,376,393,37.5781188768,126.9995029662
01580,화인빌라,5,23,28,37.6129345305,126.9685386165
01581,행촌주차장,104,313,417,37.5752728058,126.9628880463
01582,창신초등학교,219,88,307,37.5769032044,127.0153885503
01583,수운회관,24,109,133,37.5752189424,126.986669266
01584,상명대후문,47,75,122,37.6040255786,126.9573354115
01586,힐탑,6,23,29,37.6116055569,126.9690205751
01587,성결교신대원총회본부,4,74,78,37.5739763092,126.9634445669
01589,낙원상가,99,292,391,37.5737563689,126.9874148722
01590,완성빌라,22,54,76,37.6034020863,126.9575011241
01591,서울대병원장례식장,36,64,100,37.5805553988,126.9974309648
01592,혜화역1번출구,1545,231,1776,37.5834729904,127.0017632862
01593,감나무골공원,1,5,6,37.6124059606,126.9699479367
01594,한국사회과학도서관.이회영기념관,98,276,374,37.5736670147,126.9641239308
01595,동묘앞역8번출구,135,305,440,37.5726943506,127.0142453819
01596,종로2가.탑골공원,230,404,634,37.5705713654,126.9875484137
01597,경진빌라,7,4,11,37.6020037175,126.9578303612
01598,성대입구,18,153,171,37.5833533096,126.9992849459
01601,청와대,132,114,246,37.5829712951,126.973768082
01602,춘추문,140,179,319,37.5831276121,126.9796554436
01603,경복궁.국립민속박물관,300,137,437,37.5794135204,126.9795911351
01607,EN갤러리,6,9,15,37.6134217965,126.9706087294
01612,유림회관앞,9,2,11,37.5858955968,126.9969805237
01615,성균관대정문,28,122,150,37.5849563466,126.9966204422
01616,600주년기념관,4,320,324,37.5873281035,126.9939426439
01617,성균관대운동장,251,362,613,37.587863,126.99237
01618,학생회관,189,4,193,37.5874203934,126.9936746328
01667,종로문화체육센터,116,97,213,37.5746935562,126.9645321424
01682,동대문역.2번출구,179,467,646,37.5720494465,127.0117218002
01683,종각역YMCA,496,356,852,37.5703976388,126.98508926
01684,서교빌라,2,13,15,37.601989057,126.9571553655
01685,경복궁역,505,177,682,37.5770722054,126.9724733176
01697,성대입구,156,49,205,37.5832668015,126.998853007
01698,무애사,2,7,9,37.6139004282,126.9718458037
01699,단군성전앞,10,22,32,37.5755600915,126.9653175119
01702,동대문종합시장,187,255,442,37.5712161296,127.004958038
01714,상명초등학교,1,7,8,37.6009238115,126.956715418
01720,법련사,146,220,366,37.5765879752,126.9796650539
01721,광화문새마을금고,45,96,141,37.5794930902,126.9710277184
01722,성균관대정문,40,20,60,37.584886,126.996646
01723,참샘골공원,7,23,30,37.6146097003,126.9742524976
01724,황학정앞,8,39,47,37.5768126115,126.9653293849
01725,종로5가역.중부교육지원청,1287,421,1708,37.5714192458,127.0020898456
01727,인사동들머리.3.1독립선언터,22,3,25,37.5719470235,126.983296967
01728,정독도서관,18,352,370,37.5802605382,126.980080541
01729,오거리.한옥마을입구,4,110,114,37.5794684375,126.9697392663
01732,평창공원지킴터입구,4,5,9,37.6163963984,126.9757438761
01763,종로1가,977,639,1616,37.57037,126.980129
01776,종로도서관,63,77,140,37.5764842271,126.9671251598
01790,종로사우나,266,53,319,37.5738011149,126.9877503526
01791,홍지파크,1,4,5,37.6012424257,126.9557163281
01792,삼청파출소,11,259,270,37.58164517,126.9813258198
01793,통인시장.종로구보건소,31,418,449,37.5803350289,126.9687504797
01794,종로5가역.광장시장,665,687,1352,37.5707724724,127.000038992
01795,평창동산림제3초소,9,13,22,37.6173560499,126.9771030504
01796,배화여중고.매동초교,58,126,184,37.5767787564,126.9676986337
01797,대학로입구.이화사거리,471,317,788,37.5759841652,127.0025801998
01798,운현궁,8,8,16,37.5752716136,126.9869813803
01799,상명대입구,0,3,3,37.6000210109,126.9569583018
01800,삼청동주민센터,4,289,293,37.5846846831,126.9822105151
01801,박노수미술관,8,384,392,37.5810265604,126.9668944502
01802,김창열.윤명로화실,2,8,10,37.616304998,126.9783685436
01803,사직공원.경복궁역입구,241,293,534,37.5762206893,126.9689039095
01804,충신시장,273,203,476,37.5749766498,127.005404874
01805,안국역2번출구앞,1022,165,1187,37.5771728174,126.9861183272
01807,금융연수원,3,230,233,37.5858776706,126.981847891
01809,감람산기도원,3,5,8,37.6159439291,126.9798729651
01810,카센터.사직터널앞,45,28,73,37.57409862,126.9658895166
01812,재동초등학교,63,234,297,37.578791085,126.9853617134
01814,삼청공원삼거리.옥호정터,0,113,113,37.5874185176,126.9817444742
01815,이화사거리,92,216,308,37.5753200672,127.0022812884
01816,연화정사,2,5,7,37.6146490046,126.9794938432
01817,대신중고,163,124,287,37.5726178078,126.9616893251
01819,현대사거리,14,60,74,37.5792417814,126.9866353642
01820,교남동주민센터,6,31,37,37.5721819807,126.9613278115
01821,부암동주민센터.무계원,14,19,33,37.5929353403,126.9637682263
01823,형제봉입구,0,6,6,37.6128643152,126.9816861503
01824,교남동새마을금고,76,136,212,37.5714943551,126.962337459
01825,창신초교,52,101,153,37.5760372123,127.0157200961
01826,가회동주민센터,22,139,161,37.5799426497,126.9851293823
01827,볼링장,21,47,68,37.5792554401,126.9879589184
01829,석파정.서울미술관,29,5,34,37.5947643228,126.9637824182
01830,지구촌교회,18,18,36,37.6131060324,126.9792421489
01831,월암공원,49,29,78,37.5712260916,126.9646918774
01832,숭인1동주민센터,99,135,234,37.5774150014,127.0155607478
01833,북촌한옥마을입구.정세권활동터,19,395,414,37.5812807738,126.9851687446
01835,하림각,36,2,38,37.5976847268,126.9629663842
